頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
ヤ,ﾔｿｰﾙ,15591,,殺そ剤,ｸﾏﾘﾝ系,「-」,,,,,,,,
シ,ｼﾞﾍﾞﾚﾘﾝ協和錠剤,15697,,植物成長調整剤,ｼﾞﾍﾞﾚﾘﾝ,「-（植）」,,,,,,,,
サ,ｻｲｺｾﾙ,15707,,植物成長調整剤,ｸﾛﾙﾒｺｰﾄ,「-（植）」,,,,,,,,
漢字,園芸用ｷﾝﾁｮｰﾙS,15976,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾄﾘﾎﾘﾝ,3,,,,,,
カ,ｶﾀﾞﾝP,16431,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,TPN,M5,,,,,,
O,OMH-K,16673,,植物成長調整剤,ﾏﾚｲﾝ酸ﾋﾄﾞﾗｼﾞﾄﾞｶﾘｳﾑ,「-（植）」,,,,,,,,
サ,ｻﾝｷｬｯﾁ液剤30S,16837,,植物成長調整剤,ｺﾘﾝ,「-（植）」,,,,,,,,
ハ,ﾊﾟﾀﾞﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,16934,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ｶﾙﾀｯﾌﾟ,14,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,,,
ヒ,ﾋﾞｰﾑﾊﾞｼﾎﾞﾝ粉剤DL,16965,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾒﾌﾟﾛﾆﾙ,7,,,,
ス,ｽﾏﾚｸﾄ粒剤,17221,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
漢字,石原ｽﾏﾚｸﾄ粒剤,17224,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
ハ,ﾊﾞｳﾝﾃｨ粒剤,17225,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
ハ,ﾊﾞｳﾝﾃｨﾌﾛｱﾌﾞﾙ,17229,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
漢字,日農ﾊﾞｳﾝﾃｨﾌﾛｱﾌﾞﾙ,17231,,植物成長調整剤,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,,,
イ,ｲﾈﾋﾞﾀﾝ粒剤,17237,,殺菌植調剤,ｲｿﾌﾟﾛﾁｵﾗﾝ,6,ﾊﾟｸﾛﾌﾞﾄﾗｿﾞｰﾙ,「-（植）」,,,,,,
フ,ﾌﾙﾒｯﾄ液剤,17247,,植物成長調整剤,ﾎﾙｸﾛﾙﾌｪﾆｭﾛﾝ,「-（植）」,,,,,,,,
ハ,ﾊﾟﾀﾞﾝﾄﾚﾊﾞﾘﾀﾞﾋﾞｰﾑ粉剤DL,17304,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ｶﾙﾀｯﾌﾟ,14,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,
ト,ﾄﾚﾊﾞﾘﾀﾞﾋﾞｰﾑ粉剤DL,17305,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,,,
ク,ｸﾞﾘｰﾝﾌｨｰﾙﾄﾞ水和剤,17317,,植物成長調整剤,ﾌﾙﾙﾌﾟﾘﾐﾄﾞｰﾙ,「-（植）」,,,,,,,,
カ,ｶﾙﾊﾟｰ粉粒剤16,17423,,植物成長調整剤,過酸化ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
カ,ｶﾔｸｶﾙﾊﾟｰ粉粒剤16,17424,,植物成長調整剤,過酸化ｶﾙｼｳﾑ,「-（植）」,,,,,,,,
ア,ｱﾙﾀﾍﾞｰﾙﾌﾛｱﾌﾞﾙ,17535,,殺虫殺菌剤,ﾏｼﾝ油,"UNM(I*),NC(F*)",有機銅,M1,,,,,,
ク,ｸﾞﾘｰﾝﾌｨｰﾙﾄﾞ粒剤,17622,,植物成長調整剤,ﾌﾙﾙﾌﾟﾘﾐﾄﾞｰﾙ,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰﾑﾄﾚﾎﾞﾝ粉剤5DL,17657,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
コ,ｺﾗﾄｯﾌﾟﾄﾚﾎﾞﾝ粒剤,17764,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,
フ,ﾌﾗｽﾀｰ液剤,17799,,植物成長調整剤,ﾒﾋﾟｺｰﾄｸﾛﾘﾄﾞ,「-（植）」,,,,,,,,
漢字,日曹ﾌﾗｽﾀｰ液剤,17800,,植物成長調整剤,ﾒﾋﾟｺｰﾄｸﾛﾘﾄﾞ,「-（植）」,,,,,,,,
ロ,ﾛﾐｶ粒剤,17815,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ク,ｸﾐｱｲﾛﾐｶ粒剤,17816,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
漢字,日産ﾛﾐｶ粒剤,17817,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ28,17820,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ28,17821,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA28,17822,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ア,ｱﾙﾑｸﾞﾘｰﾝ,17851,,植物成長調整剤,混合生薬抽出物,「-（植）」,,,,,,,,
ス,ｽﾐｾﾌﾞﾝP液剤,18009,,植物成長調整剤,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰﾑﾊﾞｼﾎﾞﾝ粉剤5DL,18105,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾒﾌﾟﾛﾆﾙ,7,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾎﾞﾝ粉剤DL,18170,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ホ,ﾎｸｺｰﾌﾞﾗｼﾝﾄﾚﾎﾞﾝ粉剤DL,18171,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ノ,ﾉﾝﾌﾞﾗｽﾄﾚﾎﾞﾝ粉剤DL,18173,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾌｪﾘﾑｿﾞﾝ,U14,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18174,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,
ホ,ﾎｸｺｰﾌﾞﾗｼﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18175,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,
ノ,ﾉﾝﾌﾞﾗｽﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18177,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,,
ス,ｽﾐｼｮｰﾄ14,18201,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ14,18202,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA14,18203,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ21,18204,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄ21,18205,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
コ,ｺｰﾌﾟｼｮｰﾄA21,18206,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾎﾞﾝ水和剤,18232,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾊﾞﾘﾀﾞ水和剤,18235,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,
ク,ｸﾐｱｲﾋﾞｰﾑｴｲﾄﾄﾚﾎﾞﾝｿﾞﾙ,18404,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
ク,ｸﾐｱｲﾋﾞｰﾑｱﾄﾞﾏｲﾔｰ粒剤,18474,,殺虫殺菌剤,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
ヒ,ﾋﾞﾋﾞﾌﾙﾌﾛｱﾌﾞﾙ,18829,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ヒ,ﾋﾞｰﾑﾄﾚﾓﾝｾﾚﾝ粉剤DL,18893,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾍﾟﾝｼｸﾛﾝ,20,,,,
漢字,日農ﾌｼﾞﾜﾝﾌﾟﾘﾝｽ粒剤,19231,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ｲｿﾌﾟﾛﾁｵﾗﾝ,6,,,,,,
ア,ｱﾌﾟﾛｰﾄﾞﾛﾑﾀﾞﾝﾓﾝｶｯﾄF粉剤DL,19362,,殺虫殺菌剤,ﾃﾌﾞﾌｪﾉｼﾞﾄﾞ,18,ﾌﾞﾌﾟﾛﾌｪｼﾞﾝ,16,ﾌﾙﾄﾗﾆﾙ,7,,,,
ハ,ﾊﾟﾀﾞﾝﾘﾝﾊﾞｰ粒剤,19393,,殺虫殺菌剤,ｶﾙﾀｯﾌﾟ,14,ﾌﾗﾒﾄﾋﾟﾙ,7,,,,,,
カ,ｶﾀﾞﾝVⅡ,19435,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,TPN,M5,,,,,,
漢字,日産ｵﾘｾﾞﾒｰﾄﾌﾟﾘﾝｽ粒剤,19546,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ヒ,ﾋﾞｰﾑﾌﾟﾘﾝｽ粒剤,19571,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
カ,ｶﾀﾞﾝSPⅡ,19664,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾁｵﾌｧﾈｰﾄﾒﾁﾙ,1,,,,,,
ム,ﾑｼｷﾝﾄｰﾙ,19666,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ｲﾐﾍﾞﾝｺﾅｿﾞｰﾙ,3,,,,,,
ヒ,ﾋﾞｵﾛｯｸﾌﾛｱﾌﾞﾙ,19685,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
漢字,理研ﾋﾞｵﾛｯｸﾌﾛｱﾌﾞﾙ,19686,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ヒ,ﾋﾞﾋﾞﾌﾙ粉剤DL,19761,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ス,ｽﾐｼｮｰﾄ35,19912,,農薬肥料,ｳﾆｺﾅｿﾞｰﾙP,「-（植）」,,,,,,,,
ア,ｱﾌﾟﾛｰﾄﾞﾛﾑﾀﾞﾝﾓﾝｶｯﾄｴｱｰ,20003,,殺虫殺菌剤,ﾃﾌﾞﾌｪﾉｼﾞﾄﾞ,18,ﾌﾞﾌﾟﾛﾌｪｼﾞﾝ,16,ﾌﾙﾄﾗﾆﾙ,7,,,,
D,Dr.ｵﾘｾﾞﾌﾟﾘﾝｽ粒剤10,20007,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ホ,ﾎｸｺｰDr.ｵﾘｾﾞﾌﾟﾘﾝｽ粒剤10,20008,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ホ,ﾎｸｺｰDr.ｵﾘｾﾞﾌﾟﾘﾝｽ粒剤6,20011,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
セ,ｾﾙﾊﾞｲﾝ,20152,,植物成長調整剤,塩化ｶﾙｼｳﾑ,「-（植）」,硫酸ｶﾙｼｳﾑ,「-（植）」,,,,,,
ヒ,ﾋﾟｶﾋﾟｶ粒剤,20234,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ｲｿﾌﾟﾛﾁｵﾗﾝ,6,ﾋﾟﾛｷﾛﾝ,16.1,,,,
フ,ﾌﾟﾘﾝｽﾘﾝﾊﾞｰ箱粒剤,20281,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾗﾒﾄﾋﾟﾙ,7,,,,,,
漢字,日産ﾄﾏﾄﾄｰﾝｽﾌﾟﾚｰ,20321,,植物成長調整剤,4-CPA,「-（植）」,,,,,,,,
C,CX-10,20344,,植物成長調整剤,ｼｱﾅﾐﾄﾞ,「-（植）」,,,,,,,,
漢字,花ｾﾗﾋﾟｰ,20568,,殺虫殺菌剤,ﾌｪﾝﾌﾟﾛﾊﾟﾄﾘﾝ,3A,ﾍｷｻｺﾅｿﾞｰﾙ,3,,,,,,
ヘ,ﾍﾞﾆｶX乳剤,20610,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
ヘ,ﾍﾞﾆｶXｽﾌﾟﾚｰ,20643,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
ヘ,ﾍﾞﾆｶX,20644,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
ク,くみあいｵﾘｾﾞﾒｰﾄ入り複合燐加安264,20649,,農薬肥料,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,,,
テ,ﾃﾞｼｶﾝ乳剤,20677,,植物成長調整剤,ﾋﾟﾗﾌﾙﾌｪﾝｴﾁﾙ,14,,,,,,,,
ヒ,ﾋﾞﾙﾀﾞｰﾌﾟﾘﾝｽ粒剤,20711,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
ホ,ﾎｸｺｰﾋﾞﾙﾀﾞｰﾌﾟﾘﾝｽ粒剤,20712,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
カ,ｶﾀﾞﾝ殺虫肥料,20789,,農薬肥料,ｱｾﾀﾐﾌﾟﾘﾄﾞ,4A,,,,,,,,
ハ,ﾊｽﾗｰ粉剤DL,20804,,殺虫殺菌剤,ｶﾙﾀｯﾌﾟ,14,ｸﾛﾁｱﾆｼﾞﾝ,4A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1
テ,ﾃﾞｼﾞﾀﾙｺﾗﾄｯﾌﾟｱｸﾀﾗ箱粒剤,20850,,殺虫殺菌剤,ﾁｱﾒﾄｷｻﾑ,4A,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,
ア,ｱﾀｯｸﾜﾝAL,20854,,殺虫殺菌剤,ﾋﾞﾌｪﾝﾄﾘﾝ,3A,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
カ,ｶﾙﾀｲﾑﾌﾛｱﾌﾞﾙ,20871,,植物成長調整剤,ﾌﾟﾛﾍｷｻｼﾞｵﾝｶﾙｼｳﾑ塩,「-（植）」,,,,,,,,
ク,ｸﾐｱｲﾋﾞｰﾑｱﾄﾞﾏｲﾔｰｽﾋﾟﾉ箱粒剤,20874,,殺虫殺菌剤,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ｽﾋﾟﾉｻﾄﾞ,5,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,
ヒ,ﾋﾞﾙﾀﾞｰﾌﾟﾘﾝｽｸﾞﾚｰﾀﾑ粒剤,21017,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁﾌﾙｻﾞﾐﾄﾞ,7,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,
ホ,ﾎｸｺｰﾋﾞﾙﾀﾞｰﾌﾟﾘﾝｽｸﾞﾚｰﾀﾑ粒剤,21018,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁﾌﾙｻﾞﾐﾄﾞ,7,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,
ホ,ﾎｸｺｰﾗﾌﾞｻｲﾄﾞｽﾀｰｸﾙ粉剤DL,21025,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾌｻﾗｲﾄﾞ,16.1,,,,,,
ヒ,ﾋﾞｰﾑｽﾀｰｸﾙ粉剤5DL,21027,,殺虫殺菌剤,ｼﾞﾉﾃﾌﾗﾝ,4A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
ク,くみあいｵﾘｾﾞﾒｰﾄｱﾄﾞﾏｲﾔｰ入り複合燐加安264,21038,,農薬肥料,ｲﾐﾀﾞｸﾛﾌﾟﾘﾄﾞ,4A,ﾌﾟﾛﾍﾞﾅｿﾞｰﾙ,P2,,,,,,
セ,ｾﾞｵﾝｼﾞｬｽﾓﾒｰﾄ液剤,21050,,植物成長調整剤,ﾌﾟﾛﾋﾄﾞﾛｼﾞｬｽﾓﾝ,「-（植）」,,,,,,,,
シ,ｼﾞｬｽﾓﾒｰﾄ液剤,21051,,植物成長調整剤,ﾌﾟﾛﾋﾄﾞﾛｼﾞｬｽﾓﾝ,「-（植）」,,,,,,,,
フ,ﾌﾞｲｹﾞｯﾄﾌﾟﾘﾝｽ粒剤10,21052,,殺虫殺菌剤,ﾌｨﾌﾟﾛﾆﾙ,2B,ﾁｱｼﾞﾆﾙ,P3,,,,,,
