insect_name,disease_name,weed_name
イネアザミウマ,つる枯病(すいか、メロン),キクイモ
イネカラバエ,デッドスポット病,キク科、タデ科の多年生雑草
イネクロカメムシ,てんぐ巣病,キク科、ヒルガオ科、タデ科の多年生雑草
イネシンガレセンチュウ,トリコデルマ菌によるほだ木の障害,ギシギシ
イネゾウムシ,トリコデルマ菌による生育障害,ギシギシ、ヨモギ、タンポポ、ヤブガラシ等の多年生広葉雑草
イネゾウムシ幼虫,ドレクスレラ葉枯病,ギシギシ類
イネゾウムシ成虫,なまぐさ黒穂病,ギシギシ類及びキク科の雑草
イネツトムシ,なまぐさ黒穂病(小麦),キシュウスズメノヒエ
イネドロオイムシ,ニホンジカ,クサネム
イネネクイハムシ,ネクロティックリングスポット病,クズ
イネハモグリバエ,ネクロティックリングスポット病(こうらいしば),クズ・フジ等のつる類
イネヒメハモグリバエ,バーティシリウム萎凋病,クズ、ササ類
イネミズゾウムシ,バーティシリウム黒点病,クズ等のつる性多年生雑草
イネミズゾウムシ幼虫,ばか苗病,クローバー
イネミズゾウムシ成虫,ハト,クローバー、オオバコ、ヤハズソウ等畑地一年生及び多年生広葉雑草
イネヨトウ,バルデンシア葉枯病,クローバー、チドメグサ等の多年生広葉雑草
イネヨトウ(ひえ),ピシウム・リゾクトニア菌による病害(苗立枯病等),クログワイ
イバラヒゲナガアブラムシ,ピシウム病,クログワイ(九州を除く)
イモグサレセンチュウ,ピシウム腐敗病,クログワイ(北海道、九州を除く)
イモコガ,ピシウム菌による病害(苗立枯病等),クログワイ(北海道、北陸、九州を除く)
イモゾウムシ,ビッグベイン病,クログワイ(北海道、北陸を除く)
イラガ,ひぶくれ病,クログワイ(北海道、東北を除く)
イラガ類,フェアリーリング病,クログワイ(北海道を除く)
イラガ類(さくら、やぶつばき),ふくろみ病,クログワイ(北陸、九州を除く)
イラクサギンウワバ,フザリウム・リゾクトニア菌による病害,クログワイ(北陸、近畿・中国・四国)
イワサキクサゼミ,フザリウム・リゾクトニア菌による病害(つる割病等),クログワイ(北陸)
インゲンテントウ,フザリウム・リゾクトニア菌による病害(立枯病等),クログワイ(北陸を除く)
インゲンマメゾウムシ,フザリウム・リゾクトニア菌による病害(苗立枯病、萎黄病、立枯病等),クログワイ(東北、北陸、近畿・中国・四国)
ウコンノメイガ,フザリウム・リゾクトニア菌による病害(苗立枯病等),クログワイ(東北、北陸、関東・東山・東海)
ウスカワマイマイ,フザリウム立枯病,クログワイ(東北、近畿・中国・四国)
ウスモンミドリカスミカメ,フザリウム菌による病害,クログワイ(東北、関東・東山・東海、近畿・中国・四国、九州)
ウドノメイガ,ふ枯病,クログワイ(東北、関東・東山・東海、近畿・中国・四国)
ウメシロカイガラムシ,ペスタロチアつる枯病,クログワイ(東北)
ウラナミシジミ,べっこう病,クログワイ(関東・東山・東海、九州)
ウリノメイガ,べと病,クログワイ(関東・東山・東海)
ウリハムシ,ヘルミントスポリウム葉枯病,ケンタッキーブルーグラス
ウリハムシモドキ,ベントグラスデッドスポット病,コウキヤガラ
ウリハムシ幼虫,ボトリチス病,コウキヤガラ(九州)
ウリミバエ,ボトリチス葉枯症,コウキヤガラ(北海道、北陸を除く)
ウワバ類,ホモプシス根腐病,コウキヤガラ(北陸を除く)
ウンカ類,ホモプシス腐敗病,コウキヤガラ(東北、九州の普通期)
ウンカ類幼虫,マルゾニナ落葉病,コウキヤガラ(東北、関東・東山・東海、九州)
エゾヤチネズミ,マルゾニナ落葉病(ポプラ),コウキヤガラ(東北、関東・東山・東海、近畿・中国・四国、九州)
エダシャク類,ムクドリ,コウキヤガラ(東北)
エビガラスズメ,ムレ苗防止,コウキヤガラ(近畿・中国・四国)
エンドウハモグリバエ,モザイク病感染防止,コウキヤガラ(関東・東山・東海、近畿・中国・四国、九州)
オウトウショウジョウバエ,もち病,コウキヤガラ(関東・東山・東海、近畿・中国・四国)
オウトウハダニ,モニリア病,コウキヤガラ(関東・東山・東海)
オウトウハマダラミバエ,モニリア病(実腐れ),コケ類
オオエグリバ,もみ枯細菌病,コシダ
オオスカシバ,リゾクトニア根腐病,コナギ
オオタバコガ,リゾクトニア病,ササ
オオニジュウヤホシテントウ,リゾクトニア菌による病害(苗立枯病等),ササ類
オオハリセンチュウ,リゾクトニア葉鞘腐敗病,シズイ
オオワタコナカイガラムシ,りん片腐敗病,シズイ(東北)
オオワタコナカイガラムシ若齢幼虫,わい化病,シバムギ
オキナワイチモンジハムシ,ワッカ症,スギナ
オキナワイナゴモドキ,乾性根腐病,ススキ
オキナワカンシャクシコメツキ,乾腐病,ススキ、ササ類、クズ等の多年生雑草
オキナワカンシャクシコメツキ成虫,乾腐病(フザリウム菌),ススキ、ササ類等の多年生雑草
オビカレハ,亀の甲症,スズメノカタビラ
オリーブアナアキゾウムシ,亀裂褐変症,スズメノテッポウ
オンシツコナジラミ,亀裂褐変症(リゾクトニア菌),スズメノヒエ
オンシツコナジラミ幼虫,傷口のゆ合促進,スズメノヒエ類
オンシツコナジラミ若齢幼虫,先枯病,ゼニゴケ
オンブバッタ,先端黄白化症,セリ
カイガラムシ,内穎褐変病,セリ(九州を除く)
カイガラムシ類,円斑病,セリ(北海道)
カイガラムシ類、アブラムシ類、コナジラミ類、アザミウマ類等,切り口の枯込防止,セリ(北陸)
カイガラムシ類、メイガ類、ヤガ類、ゾウムシ類、カメムシ類等,切り口及び傷口のゆ合促進,セリ(北陸を除く)
カイガラムシ類(アカマルカイガラムシを除く),半枯病,セリ(近畿・中国・四国)
カイガラムシ類(ヤノネカイガラムシを除く),半身萎凋病,タデ類
カイガラムシ類幼虫,南根腐病,チガヤ
カイガラムシ類若齢幼虫,叢根病,チガヤ、ススキ等の多年生イネ科雑草
カキクダアザミウマ,吊り腐れ(空胴病菌による),チドメグサ
カキサビダニ,基腐病,ツユクサ
カキノキマダラメイガ,墨入病,つる性多年生雑草
カキノヒメヨコバイ,墨黒穂病,ナガエツルノゲイトウ
カキノヘタムシガ,変色米(アルタナリア菌),ニセアカシア
カキホソガ,変色米(エピコッカム菌),ネズミムギ
カシノナガキクイムシ,変色米(カーブラリア菌),ノビエ
カスミカメムシ類,夏疫病,ノビエの休眠覚醒
カタツムリ類,実炭疽病,ノビエの休眠覚醒(湿田及び半湿田)
カツラマルカイガラムシ若齢幼虫,実褐斑病,ハマスゲ
カネタタキ,小粒菌核病,ヒメクグ
カブラハバチ,小菌核病,ヒルムシロ
カブラハバチ幼虫,小菌核腐敗病,ヒルムシロ(北陸を除く)
カブラハバチ類,小黒点病,ヒルムシロ(東北、九州を除く)
カブラヤガ,尻腐病,ヒルムシロ(東北、北陸を除く)
カボチャミバエ,尻腐病(フザリウム菌),ヒルムシロ(近畿・中国・四国を除く)
カミキリムシ類,幹腐病,ヒレハリソウ
カミキリムシ類(スギカミキリを除く),幹腐病(ゆず),ヘラオモダカ
カミキリムシ類成虫,幼果菌核病,ヘラオモダカ(九州)
カメノコハムシ,幼果菌核病(さくら),ヘラオモダカ(北海道、九州)
カメムシ類,幼苗腐敗症(イネもみ枯細菌病菌),ヘラオモダカ(北海道、北陸)
カメムシ類(アカヒゲホソミドリカスミカメを除く),幼苗腐敗症(もみ枯細菌病菌),ヘラオモダカ(北海道、東北、九州)
カラマツマダラメイガ(若～中齢幼虫),微斑モザイク病,ヘラオモダカ(北海道、東北、九州の早期)
カンザワハダニ,心腐れ症(胴枯病菌),ヘラオモダカ(北海道、東北、北陸)
カンシャコバネナガカメムシ,心腐病,ヘラオモダカ(北海道、東北)
カンシャワタアブラムシ,斑点病,ヘラオモダカ(北海道)
キアゲハ,斑点病(株枯症),ヘラオモダカ(北陸)
キイロショウジョウバエ,斑点症(シュードサーコスポラ菌),ヘラオモダカ(東北、北陸)
キイロマイコガ,斑点細菌病,ヘラオモダカ(東北)
キウイヒメヨコバイ,斑点落葉病,ヘラオモダカ(近畿・中国・四国、九州を除く)
キオビエダシャク,斑葉病,ベントグラス
キオビエダシャク(いぬまき),斑葉病(大麦),ホタルイ
キクイムシ類,新梢枯死症,マツバイ
キクイムシ類、ゾウムシ類、カミキリムシ類等,新梢枯死症(輪斑病菌による),マツバイ(東北)
キクビスカシバ,春腐病,マツヨイグサ類
キクヒメヒゲナガアブラムシ,晩腐病,マルバツユクサ
キスジノミハムシ,暗色雪腐病,ミズアオイ
キタネグサレセンチュウ,条斑病,ミズガヤツリ
キタネコブセンチュウ,果実斑点細菌病,ミズガヤツリ(北海道を除く)
キノコバエ類,果実汚斑細菌病,ミズガヤツリ(東北)
キボシカミキリ,果実腐敗症,ミズガヤツリ(近畿・中国・四国、九州を除く)
キボシマルトビムシ,果実赤点病,ミズハコベ
キョウチクトウアブラムシ,果実軟腐病,ムラサキカタバミ
キリウジガガンボ,果実軟腐症,メヒシバ
キリガ類,枝折病,メリケンカルカヤ
キンケクチブトゾウムシ幼虫,枝枯病,ヤハズソウ
キンケクチブトゾウムシ成虫,枝枯病(いぬつげ),ヨシ
ギンモンハモグリガ,枝枯細菌病,ヨモギ、クズ、クサネム、メドハギ、ギシギシ、ヒメジョオン、ススキ等の多年生雑草
キンモンホソガ,枝膨病,リードカナリーグラス
クサゼミ,枝軟腐病,レッドトップ
クスアナアキゾウムシ,株枯病,ワラビ
クスサン,株枯病(フザリウム菌),一年生イネ科雑草
クビアカスカシバ,株腐病,一年生イネ科雑草(スズメノカタビラを除く)
クビアカツヤカミキリ,株腐病(リゾクトニア菌),一年生及び多年生イネ科雑草
クビアカツヤカミキリ(さくら),株腐細菌病,一年生及び多年生イネ科雑草(スズメノカタビラを除く)
クビアカツヤカミキリ幼虫,根くびれ病,一年生及び多年生広葉雑草
クビアカツヤカミキリ成虫(さくら),根こぶ病,一年生及び多年生草本
グラナリアコクゾウムシ,根の生育促進,一年生及び多年生雑草
クリイガアブラムシ,根の生育促進による苗立の安定,一年生及び多年生雑草(スギナを除く)
クリシギゾウムシ,根朽病,一年生及び多年生雑草(ススキ、オギを除く)
クリタマバチ,根腐疫病,一年生及び多年生雑草(但し、多年生雑草は伸長抑制効果)
クリミガ,根腐病,一年生広葉雑草
クローバーシストセンチュウ,根腐病(ピシウム菌),一年生広葉雑草(キク科、カヤツリグサ科を除く)
クロウリハムシ,根腐萎凋病,一年生雑草
クロケシツブチョッキリ,根茎腐敗病,一年生雑草(アカザ科・アブラナ科・タデ科を除く)
クロケシツブチョッキリ(ばら),根部生育促進,一年生雑草(イネ科を除く)
クロバネキノコバエ類,根頭がんしゅ病,一年生雑草(キク科、カヤツリグサ科を除く)
クロマダラソテツシジミ,根黒斑病,一年生雑草(キク科を除く)
クワイクビレアブラムシ,梢枯病,一年生雑草(シロザ、アオビユを除く)
クワカイガラムシ類,樹脂細菌病,一年生雑草(ツユクサ、キク科を除く)
クワカミキリ,汚れ果症,一年生雑草(ツユクサ科、カヤツリグサ科、キク科、アブラナ科を除く)
クワコナカイガラムシ,汚斑病,一年生雑草(ツユクサ科、カヤツリグサ科、キク科を除く)
クワコナカイガラムシ若齢幼虫,汚葉病,一年生雑草(ノビエを除く)
クワゴマダラヒトリ,活着促進,一年生雑草(マメ科雑草を除く)
クワゴマダラヒトリ若齢幼虫,温州萎縮病,一年生雑草及び多年生イネ科雑草
クワシロカイガラムシ,灰斑病,一年生雑草及び多年生広葉雑草
クワシロカイガラムシ若齢幼虫,灰星病,一年生雑草及び多年生広葉雑草(スギナを除く)
クワシントメタマバエ,灰星病(あんず、すもも),一年生雑草及び多年生広葉雑草(まめ科を除く)
クワゾウムシ成虫,灰星病(すもも),一年生雑草及び多年生雑草
クワノミハムシ,灰色かび病,多年生イネ科雑草
クワノメイガ,灰色かび病(パンジー),多年生広葉雑草
クワヒメゾウムシ,灰色腐敗病,多年生広葉雑草(キク科を除く)
グンバイムシ類,炭疽病,多年生広葉雑草(スギナを除く)
ケシキスイ類,炭疽病(さび果),多年生雑草
ケナガコナダニ,炭腐病,多年生雑草(スギナ、クズ、ササ類を除く)
ケナガコナダニ類,球根腐敗病,多年生雑草(スギナ、クローバーを除く)
ケブカアカチャコガネ,球根腐敗病(フザリウム菌),多年生雑草(スギナを除く)
ケブカトラカミキリ,球根腐敗症(リゾープス菌),広葉雑草
ケムシ類,環紋葉枯病,木本性つる類
ケムシ類(若～中齢幼虫),疑似炭疽病,果樹園下草一年生雑草
ケムシ類(食用さくら(葉)、食用さくら(花)),疑似紋枯症(灰色菌核病菌),水田一年生イネ科雑草
ケラ,疑似紋枯症(褐色紋枯病菌),水田一年生カヤツリグサ科雑草
コアオカスミカメ,疑似紋枯症(褐色菌核病菌),水田一年生雑草
コアオハナムグリ,疑似紋枯症(赤色菌核病菌),水田一年生雑草(イネ科を除く)
コウノアケハダニ,疑似葉腐病(イエローパッチ),水田一年生雑草(イネ科雑草を除く)
コウモリガ,疑似葉腐病(春はげ症),水田雑草(イネ科を除く)
コオロギ,疑似葉腐病(象の足跡),畑地一年生イネ科雑草
コオロギ類,疫病,畑地一年生イネ科雑草(スズメノカタビラを除く)
コカクモンハマキ,発根促進,畑地一年生広葉雑草
コガネムシ類,白かび斑点病,畑地一年生雑草
コガネムシ類幼虫,白さび病,畑地一年生雑草(アカザ科・アブラナ科・タデ科を除く)
コガネムシ類成虫,白斑病,畑地一年生雑草(キク科を除く)
コガネムシ類成虫(ばら),白斑葉枯病,畑地多年生雑草
コクゾウ、コクヌストモドキ等の甲虫類,白星病,竹類
コクゾウムシ,白紋羽病,落葉雑かん木
コクゾウムシ、コクヌスト、アズキゾウムシ、ヒラタムシ類、タバコシバンムシ類、メイガ類、バクガ等,白絹病,藻類
コクゾウムシ、ヒラタコクヌストモドキ、マメゾウムシ類等,白腐病,藻類(アオミドロ、アミミドロ)
コクゾウ類、コクヌストモドキ、タバコシバンムシ等の甲虫類,白色疫病,藻類による表層はく離
コクゾウ類、コクヌストモドキ等の甲虫類,白色疫病(鱗茎類(根物)),間伐するすぎ、ひのき
コクヌストモドキ,白葉枯病,雑かん木
コシロモンドクガ,皮腐病,
コスカシバ,眼紋病,
コナガ,砂壌土、高温、低温又は高密度は種苗における水稲用除草剤起因の生育抑制軽減,
コナカイガラムシ類,移植時の活着促進,
コナカイガラムシ類若齢幼虫,移植時の発根及び活着促進,
コナジラミ類,稲こうじ病,
コナジラミ類(パンジー),穂枯れ(ごま葉枯病菌),
コナジラミ類(ミニトマト、ピーマン、いちご、きゅうり),穂枯れ(すじ葉枯病菌),
コフキゾウムシ,空胴病,
コブノメイガ,立枯性疫病,
ゴマダラカミキリ,立枯疫病,
ゴマダラカミキリ(かえで),立枯病,
ゴマダラカミキリ幼虫,立枯病(コルティシウム菌),
ゴマダラカミキリ成虫,立枯病(ゾイシアデクライン),
ゴマダラカミキリ成虫(かえで),立枯病(テイクオールパッチ),
コミカンアブラムシ,立枯病(パセリ),
サカキブチヒメヨコバイ,立枯病(ピシウム菌),
サキシマカンシャクシコメツキ成虫,立枯病(フザリウム菌),
サトウキビチビアザミウマ,立枯病(リゾクトニア菌),
サビダニ,立枯症,
サビダニ類,立枯症(リゾクトニア菌),
サビダニ類(ミカンサビダニを除く),粉状そうか病,
ザリガニ,紅粒がんしゅ病,
サルスベリフクロカイガラムシ,紅色根腐病,
サンカメイチュウ第3世代,紅色雪腐病,
サンゴジュハムシ,紋枯病,
サンホーゼカイガラムシ,紋羽病,
シイタケオオヒロズコガ,紫かび病,
シキミハリナガフシダニ,紫かび病(かし),
シクラメンホコリダニ,紫斑病,
シコクアナアキゾウムシ,紫紋羽病,
シソサビダニ,網もち病,
シバオサゾウムシ,網斑病,
シバオサゾウムシ幼虫,網斑病(大麦),
シバオサゾウムシ成虫,縞萎縮病,
シバツトガ,縮葉病,
ジャガイモガ,縮葉病(休眠期),
ジャガイモガ中齢幼虫,縮葉細菌病,
ジャガイモガ若齢幼虫,胴枯病,
ジャガイモシストセンチュウ,腐らん病,
ジャガイモシロシストセンチュウ,腐敗病,
ジャガイモヒゲナガアブラムシ,腐敗病(ピシウム菌),
シャクトリムシ類,腐敗病(フザリウム菌),
ジュウシホシクビナガハムシ,腐敗粒,
ジュンサイハムシ,腰折病,
ショウジョウバエ,腰折病(リゾクトニア菌),
ショウジョウバエ類,舞病,
シロイチモジマダラメイガ,花腐細菌病,
シロイチモジヨトウ,花腐菌核病,
シロイチモジヨトウ(ねぎ),花蕾腐敗病,
シロオビノメイガ,芽枯病,
シロスジオサゾウムシ,芽枯症,
シロテンクロマイコガ,芽腐病,
シンガレセンチュウ,苗の発根促進,
シンクイムシ類,苗根腐病,
スカシバ類,苗疫病,
スギカミキリ,苗立枯(リゾクトニア菌),
スギザイノタマバエ,苗立枯病,
スギタマバエ,苗立枯病(アファノミセス菌),
スギノハダニ,苗立枯病(トリコデルマ菌),
スギマルカイガラムシ,苗立枯病(ピシウム菌),
スクミリンゴガイ,苗立枯病(フザリウム菌),
スクミリンゴガイ(食害防止),苗立枯病(リゾープス菌),
スグリコスカシバ,苗立枯病(リゾクトニア菌),
スグリゾウムシ,苗立枯病(白絹病菌),
スジキリヨトウ,苗立枯症,
スズメガ類,苗立枯症(リゾクトニア菌),
スモモヒメシンクイ,苗立枯細菌病,
スモモミハバチ,苗腐敗症(アルタナリア菌),
セジロウンカ,苗腐敗症(もみ枯細菌病菌),
セスジスズメ,苗腐病,
セスジツチイナゴ,苗腐病(ピシウム菌),
センチュウ類,苦腐病,
センチュウ類(ハガレセンチュウを除く),茎えそ細菌病,
センノカミキリ,茎枯病,
センノカミキリ幼虫,茎枯病(ふさすぐり),
ゾウムシ類,茎根腐病,
ゾウムシ類等のせん孔虫,茎疫病,
ダイコンサルハムシ,茎腐病,
ダイコンハムシ,茎腐病(リゾクトニア菌),
ダイズクキタマバエ,茎腐症(リゾープス菌による),
ダイズクキモグリバエ,茎腐細菌病,
ダイズサヤタマバエ,莢汚損症,
ダイズサヤムシガ,菌核病,
ダイズシストセンチュウ,菌核病(すいか、メロン),
ダイメイチュウ,萎凋病,
タイワンカブトムシ幼虫,萎凋病(フザリウム菌),
タカラマルカイガラムシ,萎凋細菌病,
タネバエ,萎縮炭疽病,
タバコアオムシ,萎縮病,
タバコガ,萎黄病,
タバコカスミカメ,萎黄病(フザリウム菌),
タバコガ類,落葉病,
タバココナジラミ,葉かび病,
タバココナジラミ類(シルバーリーフコナジラミを含む),葉さび病,
タバココナジラミ類幼虫(シルバーリーフコナジラミ幼虫を含む),葉すす病,
タバコシバンムシ,葉ふるい病,
タバコシバンムシ、チャマダラメイガ,葉枯病,
タバコノミハムシ,葉枯病(フザリウム菌),
タマナギンウワバ,葉枯症,
タマナヤガ,葉枯細菌病,
タマナヤガ幼虫,葉渋病,
タマネギバエ,葉炭疽病,
ダンゴムシ,葉焼病,
チガヤシロオカイガラムシ,葉腐病,
チガヤシロオカイガラムシ幼虫,葉腐病(ブラウンパッチ),
チバクロバネキノコバエ,葉腐病(ブラウンパッチ)等諸病害,
チビクロバネキノコバエ,葉腐病(ラージパッチ),
チャドクガ,葉腐病(リゾクトニア菌),
チャドクガ幼虫,葉腐細菌病,
チャトゲコナジラミ,葉鞘腐敗病,
チャノキイロアザミウマ,裏うどんこ病,
チャノコカクモンハマキ,裸黒穂病,
チャノナガサビダニ,褐さび病,
チャノホコリダニ,褐斑病,
チャノホコリダニ(なす),褐斑病(つつじ類),
チャノホコリダニ幼虫,褐斑病(ぼけ),
チャノホソガ,褐斑細菌病,
チャノミドリヒメヨコバイ,褐条病,
チャノミドリヒメヨコバイ幼虫,褐紋病,
チャハマキ,褐紋病(さやえんどう),
チャマダラメイガ,褐色しみ病,
チャミノガ,褐色せん孔病,
チューリップサビダニ,褐色円星病,
チュウゴクナシキジラミ,褐色斑点病,
チュウレンジハバチ,褐色斑点病(ボトリチス病),
チュウレンジハバチ(ばら),褐色根腐病,
チュウレンジハバチ類(ばら),褐色腐敗病,
ツツジグンバイ,褐色腐敗病(すいか),
ツツジグンバイ(つつじ類),褐色葉枯病,
ツツジコナジラミ,褐色輪紋病,
ツノロウムシ,褐色輪紋病(だいず),
ツバキワタカイガラムシ,褐色雪腐病,
ツマグロアオカスミカメ,角斑病,
ツマグロヨコバイ,角斑細菌病,
ツマグロヨコバイ幼虫,貯蔵病害(灰色かび病),
ツマジロクサヨトウ,貯蔵病害(炭疽病),
ツメクサガ,貯蔵病害(白かび病),
ツヤハダゴマダラカミキリ,貯蔵病害(緑かび病),
デイゴヒメコバチ,貯蔵病害(軸腐病),
テンサイシストセンチュウ,貯蔵病害(青かび病),
テンサイトビハムシ,貯蔵病害(黒斑病),
テンサイモグリハナバエ,貯蔵病害(黒腐病),
テントウムシダマシ,赤かび病,
テントウムシダマシ幼虫,赤さび病,
テントウムシダマシ類,赤斑病,
ドウガネブイブイ,赤星病,
ドウガネブイブイ成虫,赤枯病,
ドクガ類,赤枯病(すぎ),
トチノキヒメヨコバイ,赤枯症(フザリウム菌),
トビイロウンカ,赤焼病,
トビイロトラガ,赤色斑点病,
トビイロヒョウタンゾウムシ,赤色粒,
トビハムシ,赤葉枯病,
トビハムシ類,赤衣病,
トビモンオオエダシャク,越冬病害虫,
トマトキバガ,軟腐病,
トマトキバガ(トマト、ミニトマト),軟腐細菌病,
トマトサビダニ,軸腐病,
トマトハモグリバエ,輪斑病,
トラカミキリムシ,輪紋病,
トラフユスリカ,輪紋葉枯病,
ナガイモコガ,野ウサギ,
ナガカタカイガラムシ,野ソ,
ナカジロシタバ,野火病,
ナガゼンマイハバチ,銀か病,
ナガチャコガネ,銀葉病,
ナガチャコガネ幼虫,陥没病,
ナガチャコガネ成虫,雪腐大粒菌核病,
ナシキジラミ,雪腐小粒菌核病,
ナシグンバイ,雪腐病,
ナシチビガ,雪腐病(根雪前),
ナシヒメシンクイ,雪腐菌核病,
ナシヒメシンクイ(心折防止),雲形病,
ナシホソガ,青かび病,
ナシマルカイガラムシ,青枯病,
ナシミハバチ,首腐病,
ナスコナカイガラムシ,鱗茎さび症,
ナストビハムシ,黄化病,
ナスノミハムシ,黄化萎縮病,
ナスハモグリバエ,黄斑病,
ナスミバエ,黄腐病,
ナトビハムシ,黒あざ病,
ナミアゲハ,黒あし病,
ナミハダニ,黒かび病,
ナメクジ類,黒さび病,
ナモグリバエ,黒しみ病,
ニカメイチュウ,黒しゅ病,
ニカメイチュウ第1世代,黒すす病,
ニカメイチュウ第2世代,黒とう病,
ニジュウヤホシテントウ,黒変根腐症,
ニセナシサビダニ,黒変病,
ニセナミハダニ,黒斑病,
ニトベミノガ,黒斑病(開花前),
ニラフシダニ,黒斑病(開花後),
ネギアザミウマ,黒斑細菌病,
ネギコガ,黒星病,
ネギネクロバネキノコバエ,黒星病(ばら),
ネギハモグリバエ,黒星病(開花前),
ネキリムシ,黒星病(開花後),
ネキリムシ類,黒星落葉病,
ネグサレセンチュウ,黒条病,
ネコブセンチュウ,黒枯病,
ネスジキノカワガ,黒根病,
ネダニ,黒根腐病,
ネダニ類,黒渋病,
ノコメトガリキリガ,黒点根腐病,
ノシメマダラメイガ,黒点病,
ノシメマダラメイガ、バクガ等の蛾類,黒点病(じんちょうげ),
ノメイガ類,黒点葉枯病,
ハイイロサビヒョウタンゾウムシ,黒球病,
パイナップルコナカイガラムシ,黒穂病,
パイナップルコナカイガラムシ幼虫,黒節病,
ハイマダラノメイガ,黒粒枝枯病,
ハガレセンチュウ,黒腐病,
ハクサイダニ,黒腐病等の種子伝染性細菌病害,
ハゴロモ類,黒腐菌核病,
ハゴロモ類幼虫,黒色根腐病,
ハスモンヨトウ,黒葉枯病,
ハスモンヨトウ(パンジー),黒葉腐病,
ハスモンヨトウ雄成虫,,
ハダニ類,,
ハダニ類(きく、ばら),,
ハダニ類(ミカンハダニを除く),,
ハダニ類の越冬卵,,
ハダニ類及びその越冬卵,,
ハダニ類及び越冬卵,,
バッタ類,,
バナナツヤオサゾウムシ,,
ハバチ類,,
